id,dfid,name,type,c_type,latitude,longitude
4d4bec412d0d8cfa523ac925,547,Bikestocks,4bf58dd8d48988d115951735,Bike Shop,41.349683,2.098175
50468e99c84cf561f87fb935,549,KR moto,4bf58dd8d48988d115951735,Bike Shop,41.378652147560494,2.1355211734771733
4eb42236722e578a4edde035,550,Back side,4bf58dd8d48988d115951735,Bike Shop,41.378085326289295,2.1489164356690087
4cbc280b43ec6dcb2af9ae31,551,Druc Moto,4bf58dd8d48988d115951735,Bike Shop,41.361581,2.107959
5107f96ce4b0ea9d3759a786,552,Bicicletes Alama,4bf58dd8d48988d115951735,Bike Shop,41.37385921854883,2.144892634023892
4fdc695de4b0523373a2071c,553,Pavé Culture Cycliste,4bf58dd8d48988d115951735,Bike Shop,41.324368038461905,2.105833989603072
4fb95f4b6b74d33d697cedab,557,Electrical Bike Tours Bicizoom,4e4c9077bd41f78e849722f9,Bike Rental / Bike Share,41.37198602368553,2.1477091312408447
4ef4682249010be35e3fd9e6,558,Xtrem Bike,4bf58dd8d48988d124951735,Automotive Shop,41.378811841315105,2.1289640287213234
53c806de498ec37a85fc9325,560,Taller de bicis,4bf58dd8d48988d115951735,Bike Shop,41.371933,2.16288
4e2e6f9c483b93c2f2d53cea,561,La Bicicleta,4bf58dd8d48988d115951735,Bike Shop,41.37719774180864,2.1440006362171524
4c481b6289a6c9b630539c88,562,zonamoto,4bf58dd8d48988d115951735,Bike Shop,41.380682,2.1272740000000003
4f990b1fe4b05c77b82c2938,564,Burras,4bf58dd8d48988d115951735,Bike Shop,41.37918376144195,2.1455352670767303
54a81451498efd1a467c814f,565,Velodrom Studio,4bf58dd8d48988d115951735,Bike Shop,41.37776358533478,2.151559199893789
50ad09f8e4b0204ef2e2dde3,566,Biking point hospitalet,4bf58dd8d48988d115951735,Bike Shop,41.36723149844975,2.1286612794672664
57f673d5498e5a12ece238f9,567,VeniVidi,52e81612bcbc57f1066b7a33,Social Club,41.373151,2.132331
52e2b593498ebe2a941c683d,568,Life Bikes,4bf58dd8d48988d115951735,Bike Shop,41.374857844797866,2.1553581459262
5026a831582f64b9162cd937,576,motos les corts,4bf58dd8d48988d115951735,Bike Shop,41.378096663330936,2.119331359863281
57a1aefb498e810ba3f63017,584,Cruising Barcelona,4bf58dd8d48988d115951735,Bike Shop,41.382033,2.170736
58e36314af5c140da1e93e1b,593,lmbikes,4bf58dd8d48988d115951735,Bike Shop,41.401006,2.156313
5bc8a93da87921002c431272,594,Taller El Bon Pedal,4bf58dd8d48988d115951735,Bike Shop,41.38564,2.15457
50be270fe4b0d317a9b236c0,595,Terra diversions,4bf58dd8d48988d115951735,Bike Shop,41.39816077130524,2.16017924036506
52539e4c11d22f7b473c0075,602,WEOUTDOOR HQ,4bf58dd8d48988d115951735,Bike Shop,41.398030746165524,2.1563512086868286
508ab774e4b0988211033699,608,Bici Total,4bf58dd8d48988d115951735,Bike Shop,41.38176855595957,2.1611914959945526
53075efe498e2ad2303bfa2c,615,Bicing central,4bf58dd8d48988d115951735,Bike Shop,41.385398864746094,2.1739988327026367
50f15292e4b0c79b17be333c,756,Bike bike Esplugues,4bf58dd8d48988d115951735,Bike Shop,41.37238693237305,2.0951306819915767
51a73359498e6e26fa544477,799,bikeshop,4bf58dd8d48988d115951735,Bike Shop,41.40258026123047,2.118968963623047
5315a41211d22d020af818ea,914,Tomàs Domingo,4bf58dd8d48988d115951735,Bike Shop,41.39624270380219,2.1646678779892587
4dbbd80a93a08f9274ae67c8,922,King Bikes,4bf58dd8d48988d115951735,Bike Shop,41.42067106466081,2.1399916605057583
4bea5f7a6295c9b6c05c8608,940,2 Horas,4bf58dd8d48988d124951735,Automotive Shop,41.39171673443408,2.155294418334961
4f047e2b9a52357322a0bf70,948,Vander Bike,4bf58dd8d48988d115951735,Bike Shop,41.40345177795761,2.1488061240260268
50ddf75be4b0a2f2fe68a645,951,Geis Mobility,4bf58dd8d48988d115951735,Bike Shop,41.39365768432617,2.1227502822875977
50fd7b59e4b0d5fd149e23da,960,Bikestocks,4bf58dd8d48988d115951735,Bike Shop,41.37820214307529,2.070965017733729
5251cd4311d2acdce8d0cf34,962,Bikestocks,4bf58dd8d48988d115951735,Bike Shop,41.384911029770244,2.071065562206999
4f8efcc16b7455bc7b323bff,964,VANDERBIKE,4bf58dd8d48988d115951735,Bike Shop,41.38225060438672,2.136991024017334
51409c51e4b0508231799876,972,CyclistLab Biomecanica,4bf58dd8d48988d115951735,Bike Shop,41.40307202828488,2.1399628892462284
4f0c143de4b02a8da5fc5807,973,Piaggio Galtés,4bf58dd8d48988d115951735,Bike Shop,41.37869302680184,2.0766006451613492
507c4be5e4b027cedf3c1c78,976,Bike World,4bf58dd8d48988d115951735,Bike Shop,41.37592562531167,2.1143494019353404
4b6303c8f964a520be5d2ae3,980,Intemperie,4bf58dd8d48988d1f2941735,Sporting Goods Shop,41.39065690729912,2.1496257775111256
4fbfb891e4b0d3da585f4f56,987,Bicimagic,4bf58dd8d48988d115951735,Bike Shop,41.384262599037854,2.1338014692659653
4d39d9c4979ea14352098afc,989,Tomás Domingo - The Bike House,4bf58dd8d48988d115951735,Bike Shop,41.407960555118045,2.134669291262869
4e1dd186c65b6cd0da9e603e,990,Probike R+T,4bf58dd8d48988d1f2941735,Sporting Goods Shop,41.390463336552465,2.149309722860847
54330ca1498ecc238fddff76,994,Shaman Team HeadQuarters,4bf58dd8d48988d115951735,Bike Shop,41.362804,2.099017
4bee9037d1b7d13aef15cdec,1003,Bicitecla,4bf58dd8d48988d115951735,Bike Shop,41.398177994572976,2.160323161577052
4f1560fce4b045626b03b783,1005,Bike Gràcia,4bf58dd8d48988d115951735,Bike Shop,41.403411,2.158545
571f761d498e3f1c218252eb,1013,Brompton Junction,4bf58dd8d48988d115951735,Bike Shop,41.384368,2.159182
4eba640b8b8189688451af6f,1020,Rumble Bikes,4bf58dd8d48988d115951735,Bike Shop,41.39818293629654,2.1597570741335166
4da6c9354df0260c3e992e41,1036,Born Bike Experience Tours Barcelona,4e4c9077bd41f78e849722f9,Bike Rental / Bike Share,41.394978,2.164543
4bf3a1443f86c9b6bc55b21c,1041,Bike Tech,4bf58dd8d48988d115951735,Bike Shop,41.403222410866135,2.1586393122263283
4d7a45ab7ea26ea86d1bc18f,1047,Bcity,4bf58dd8d48988d115951735,Bike Shop,41.401168,2.156331
52c9bfa9498e24e4938b0dfb,1079,Fixie Barcelona,4bf58dd8d48988d115951735,Bike Shop,41.40189370138146,2.1744722127914433
514dad19e4b05b10160e2a22,1093,O2town,4bf58dd8d48988d115951735,Bike Shop,41.401773,2.17443
4d526768c305b60cc6c6991e,1134,O2Town Bikes,4bf58dd8d48988d115951735,Bike Shop,41.402033,2.1744369800000003
50549e2de4b0150f2e6c27f2,1266,Ciclo Turisme,4bf58dd8d48988d115951735,Bike Shop,41.40784655344855,2.183394884850065
505a4031e4b0e292f9542da0,1284,Bicing 291,4bf58dd8d48988d115951735,Bike Shop,41.42715835571289,2.175039529800415
4dd53a48ae60a78cec68611e,1287,Bicis López,4bf58dd8d48988d115951735,Bike Shop,41.40337041630068,2.1781682968139653
4dd1795dd4c065592fc71ca5,1300,Motos Tiriti,4bf58dd8d48988d115951735,Bike Shop,41.44172456443891,2.177546003958301
4f9ec33ee4b0b34c458447b8,1531,Bicicletas Alcor,4bf58dd8d48988d115951735,Bike Shop,41.442403000000006,2.1867490000000003
4cc180fb43646dcb69c4458c,1648,Medina Competició,4bf58dd8d48988d115951735,Bike Shop,41.45296231895336,2.1893710831257462
4db6f69dfa8c3502411c44c3,1656,Medina Bike,4bf58dd8d48988d115951735,Bike Shop,41.45292789,2.18930848
5142e680e4b002e3f1185ef7,1701,Cariñera Cicles,4bf58dd8d48988d115951735,Bike Shop,41.430013,2.186594
560030f3498ed5a54758ca2f,1713,antique cicles,4bf58dd8d48988d115951735,Bike Shop,41.40713599624495,2.187604542009668
54452996498e28f66dab20c0,1717,Team Royal 24h,4bf58dd8d48988d115951735,Bike Shop,41.400449,2.197928
4c94a93ef7cfa1cd909db515,1740,Espai Bici,4bf58dd8d48988d115951735,Bike Shop,41.39369498257762,2.1702765031520075
4caca1f8d971b1f74b3932e1,1758,Motoprix,5032833091d4c4b30a586d60,Motorcycle Shop,41.400521000000005,2.175243
4e172017b61c2903bf07a189,1760,Castells Bicicletes,4bf58dd8d48988d115951735,Bike Shop,41.392732837252275,2.1736701514963137
4d58ef2cc88da1cd42583468,1766,Cariñena Cicles,4bf58dd8d48988d115951735,Bike Shop,41.4303815388376,2.182674914460155
505a0f3fe4b033863fb72a9d,1791,Bicing 282,4bf58dd8d48988d115951735,Bike Shop,41.42821502685547,2.1636416912078857
4f1a84afe4b0918978c5493e,1797,Garatge Almansa,4bf58dd8d48988d115951735,Bike Shop,41.440404081381885,2.166867265829756
5776a8a7498e2830109b954e,1799,Taller de bicis Gràcia,4bf58dd8d48988d115951735,Bike Shop,41.404889000000004,2.156703
4d5035d5e0275481b3a09eb6,1824,Bicisport,4bf58dd8d48988d115951735,Bike Shop,41.43322898001736,2.1785905002646064
4f0dcef9e4b08ead5e3f12e1,1831,Biciclot,4bf58dd8d48988d115951735,Bike Shop,41.40827912695031,2.182938902267162
5326ec31498e490be828bd0a,1857,tu-bici.es - Bicicletas Eléctricas Barcelona,4bf58dd8d48988d115951735,Bike Shop,41.43051401187621,2.1890974567363566
4d7fb61febc154813a00f9a6,1868,Districte Moto,4bf58dd8d48988d115951735,Bike Shop,41.4047126,2.180988975
5086d53fe4b035fac3fb9eaf,1895,Bicing 128,4bf58dd8d48988d115951735,Bike Shop,41.41618520918257,2.19906428923855
50460256e4b0a6a651787e04,1925,Bicing 267,4bf58dd8d48988d115951735,Bike Shop,41.445546208480614,2.19276994936213
4f5e2186e4b0ea859b0a972c,1928,Bicicletes Poblet,4bf58dd8d48988d115951735,Bike Shop,41.47066263573097,2.178571302952555
5392e50b498e8a555ad47f78,1932,Maquibike,4bf58dd8d48988d115951735,Bike Shop,41.43874,2.196309
